"No. of Characters","CharacterType","Estimates","se"
"1","Boy",0.148469007907026,0.003479172325163
"1","Cat",-0.155612361802718,0.00303788619881545
"1","Criminal",-0.129872975416656,0.00307119989786339
"1","Dog",-0.124710444978864,0.00323468701605447
"1","Female Athlete",0.0233399199750406,0.003396678413658
"1","Female Doctor",0.0607770030265754,0.00340508327682422
"1","Female Executive",0.0112265313979771,0.00350932625490181
"1","Girl",0.153304453937138,0.00344602064851435
"1","Homeless",-0.0217284800651584,0.0033507991587901
"1","Large Man",-0.0153697111463443,0.00342817648833777
"1","Large Woman",-0.00262737094420801,0.00335085474107908
"1","Male Athlete",0.0102177809937957,0.00336614290620297
"1","Male Doctor",0.0628479424090006,0.00341309317236819
"1","Male Executive",0.00610372938878231,0.00333210786018728
"1","Old Man",-0.031729783518037,0.00332491103603238
"1","Old Woman",-0.0331087623396379,0.00325430766869027
"1","Pregnant",0.144938158209532,0.00342398084502596
"1","Stroller",0.164103280372453,0.00343194026333495
