Reason,count
"- ""Save the more vulnerable""",33
"- ""Saving more lives is greater good""",31
"- ""Save the one who will have the potential to do more future contribution to society""",21
"- ""Save the one with longer life ahead of them""",8
"- ""Save the one who have done more past contribution to society""",7
"- ""Human lives are more valuable than animal lives""",6
"- ""Sacrifice the guilty one""",6
"- ""Save the one who will have the potential to do more future contribution to",6
"- ""Everyone's life is equivalent, so we should prioritize nobody""",5
"- ""Save the more vulnerable (specifically due to the hope that both sides may survive)""",5
"- ""Other reason""",2
"- ""Save the one who have done more past contribution to",2
"- ""Save the stronger""",2
"- ""Save the one with more dependents living on them""",1
"- ""Save the one with more dependents living on them",1
